Product Name,Manufacturer,Item Code
Cannondale CANVAS NEO 2 Remixte - 29" Women Electric City Bike - 2021 - Champagne,Cannondale Bikes,CAD483495
Cannondale MOTERRA NEO Carbon SE - 29" MTB E-Bike - 2021 - Stealth Gray,Cannondale Bikes,CAD483483
CUBE STEREO HYBRID 120 Race 625 - MTB E-Bike - 2022 - green/flashgreen A00,CUBE Bikes,CUB558821
Bergamont E-HORIZON Elite Speed Gent - 45 km/h Trekking E-Bike - 2022 - black / blue dust,Bergamont Bikes,BGM516930
CUBE TOURING HYBRID Pro 625 - Women E-Bike - 2022 - metallicgrey/black A00,CUBE Bikes,CUB557831
Diamant Zing+ - Men Trekking E-Bike - 2022 - deep black,Diamant,DIM503413
Specialized TURBO LEVO ALLOY - MTB E-Bike - 2022 - black / light silver / black,Specialized Bikes,SBC556647
Specialized TURBO VADO 5.0 Step-Through E-Bike - 2021 - black / liquid silver,Specialized Bikes,SBC422698
Ghost HYBRIDE SQUARE TRAVEL B4.7+ AL U - Unisex E-Bike - 2021 - rock / jet black,Ghost Bikes,GOS469029
CUBE REACTION HYBRID Performance 625 Allroad - MTB E-Bike - 2022 - polarsilver/blue A01,CUBE Bikes,CUB560003
Specialized TURBO VADO 5.0 - Men's City E-Bike - 2022 - cast black / silver reflective,Specialized Bikes,SBC556782
Giant REIGN E+ 3 Mullet Pro 625Wh - MTB E-Bike - 2022 - amber glow,Giant Bikes,GNT496507
Bergamont E-HORIZON Elite Belt Gent - Trekking E-Bike - 2022 - matt chrome / black / chrome,Bergamont Bikes,BGM516945
Bergamont E-HORIZON Expert Gent - Men's Trekking E-Bike - 2022 - anthracite / black / chrome,Bergamont Bikes,BGM516949
CUBE NURIDE HYBRID PRO 625 Allroad - Women E-Bike - 2022 - silvergreen/black A00,CUBE Bikes,CUB557811
CUBE KATHMANDU HYBRID ONE 625 - Women E-Bike - 2022 - teal/lime A00,CUBE Bikes,CUB557804
CUBE STEREO HYBRID 160 HPC Race 625 - 27.5 Inches Carbon MTB E-Bike - 2022 - frostwhite/grey A00,CUBE Bikes,CUB559135
CUBE STEREO HYBRID 160 HPC Race 625 - 27.5 Inches Carbon MTB E-Bike - 2022 - lunar/grey A00,CUBE Bikes,CUB559137
Ghost HYBRIDE SQUARE TRAVEL B4.7+ AL W - Women E-Bike - 2021 - rock / jet black,Ghost Bikes,GOS503842
Specialized TURBO VADO 4.0 - Step-Through City E-Bike - 2022 - white mountains / black reflecitve,Specialized Bikes,SBC556775
Bergamont E-VILLE Expert Rigid - Step-Thru Urban E-Bike - 2021 - black / red,Bergamont Bikes,BGM516924
Cannondale TREADWELL NEO EQ - 27.5" Electric City Bike - 2022 - black,Cannondale Bikes,CAD447305
Trek Domane+ ALR - Shimano 105 E-Roadbike - 2022 - Voodoo Trek Black,Trek Bikes,TBI525766
Trek POWERFLY 4 625W MTB E-Bike - 2022 - Matte Solid Charcoal/Matte Miami,Trek Bikes,TBI512563
Cannondale CANVAS NEO 2 - 29" Electric City Bike - 2021 - Champagne,Cannondale Bikes,CAD483430
Specialized TURBO COMO 4.0 SL - E-Bike - 2022 - cast umber / transparent,Specialized Bikes,SBC531796
Specialized TURBO LEVO COMP ALLOY - MTB E-Bike - 2022 - cobalt / light silver,Specialized Bikes,SBC556651
Specialized TURBO KENEVO SL COMP - 29" Carbon MTB E-Bike - 2022 - gloss blaze / black,Specialized Bikes,SBC531893
Bergamont E-VILLE SUV TOUR - Trekking E-Bike - 2022 - black / lime green metallic,Bergamont Bikes,BGM516926
Trek POWERFLY 4 MTB E-Bike - 2022 - Azure / Nautical Navy,Trek Bikes,TBI547728
CUBE AGREE HYBRID C:62 SLT - Carbon Roadbike E-Bike - 2020 - black edition,CUBE Bikes,CUB446239
Diamant ZOUMA SUPREME+ S Men 45 km/h E-Bike - 2022 - carbon black,Diamant,DIM446903
CUBE KATHMANDU HYBRID PRO 625 - Women E-Bike - 2022 - desert/orange A00,CUBE Bikes,CUB557805
Electra Townie Commute Go! 5i EQ Step-Over City E-Bike - 500Wh - black,Electra,ELE558537
Bergamont E-HORIZON Sport Lady - Women Trekking E-Bike - 2022 - white / black / gold,Bergamont Bikes,BGM516961
Electra Loft Go! 5i Step-Thru City E-Bike - 500Wh - black,Electra,ELE530061
SCOTT RANSOM eRIDE 920 - 29" MTB E-Bike - 2022 - matt cool raw alloy / dark smoke brush,SCOTT Bikes,SCB554093
